url,link_kind,seed_domain
https://news.qq.com/omn/author/8QMc3H5f7o0Uuj%2FZ,internal_pool,https://qq.com
https://s.iwan.qq.com/opengame/tenvideo/index.html,internal_pool,https://qq.com
https://fandom.com,homepage,https://fandom.com
https://support.fandom.com/hc/articles/360021589413-I-want-a-feature-or-extension-turned-on,internal_pool,https://fandom.com
https://community.fandom.com/wiki/User_blog:Marphimon/Getting_Started_With_Fandom:_Signing_Up_%26_Personalization,internal_pool,https://fandom.com
https://www.fandom.com/topics/tv,internal_pool,https://fandom.com
https://globo.com,homepage,https://globo.com
https://ge.globo.com/sp/santos-e-regiao/futebol/times/santos/noticia/2026/05/12/colecao-de-motos-ferrari-e-brinquedoteca-gigante-neymar-abre-mansao-em-santos.ghtml,internal_pool,https://globo.com
https://oglobo.globo.com/economia/tecnologia/noticia/2026/05/17/como-a-anthropic-se-tornou-a-principal-empresa-de-ia-do-mundo-entenda-em-cinco-graficos.ghtml,internal_pool,https://globo.com
https://gshow.globo.com/novelas/quem-ama-cuida/vem-por-ai/noticia/no-primeiro-capitulo-de-quem-ama-cuida-vila-arma-golpe-contra-irmao-milionario.ghtml,internal_pool,https://globo.com
