pipeline_id,n,mean_s,median_s,std_s,min_s,max_s
baseline,68,150.9470588235294,131.05,116.8500639876031,8.1,635.1000000000001
engine-only,68,101.30147058823529,82.85,76.03833576077122,6.999999999999999,368.70000000000005
map-only,68,126.46470588235294,85.65,112.45027261131902,6.7,511.9
full,68,63.31764705882353,45.7,64.67586447143407,5.0,357.30000000000007
