metric,mean,median,min,max
raw_chars,948621.31,708458.0,50097,4411456
visible_chars,421951.69,295185.0,21212,2353194
compressed_visible_chars,35730.3,21423.5,1854,332518
compressed_visible_comment_chars,8780.12,5788.5,311,50983
raw_tokens,339252.65,240917.5,18490,1338122
visible_tokens,162806.24,107851.0,7188,1028594
compressed_visible_tokens,11135.38,6612.5,522,107851
