,1-original,2-baseline,3-engine-only,4-map-only,5-full
1-original,0,0,0,0,0
2-baseline,3,0,1,1,0
3-engine-only,3,0,0,0,0
4-map-only,3,0,0,0,0
5-full,3,0,1,1,0
