pipeline_id,n,mean_s,median_s,std_s,min_s,max_s
baseline,42,202.49285714285716,162.79999999999998,124.91846978760448,14.2,513.5999999999999
engine-only,42,74.39047619047619,63.449999999999996,41.14875933597103,6.700000000000001,155.1
map-only,42,116.75476190476192,82.29999999999998,90.15473474135118,13.899999999999999,361.2
full,42,37.642857142857146,34.35,22.776508467697457,9.399999999999999,119.8
full-sonnet,42,33.09047619047619,28.199999999999996,16.401335601828574,14.099999999999998,78.5
