pipeline_a,pipeline_b,wins_a,wins_b,observed_rate_a,bt_rate_a
baseline,engine-only,14,17,0.45161290322580644,0.4725263528014989
baseline,map-only,17,11,0.6071428571428571,0.5913849707819573
baseline,full,11,17,0.39285714285714285,0.3854608529105928
engine-only,map-only,0,0,,0.61767682332456
engine-only,full,8,13,0.38095238095238093,0.4118246160532059
map-only,full,8,17,0.32,0.3023511672725273
