pipeline_a,pipeline_b,wins_a,wins_b,observed_rate_a,bt_rate_a
baseline,engine-only,2,4,0.3333333333333333,0.30891418699400297
baseline,map-only,4,0,1.0,0.6855179495648765
baseline,full,1,6,0.14285714285714285,0.343491868540188
engine-only,map-only,0,0,,0.8298335635134676
engine-only,full,5,4,0.5555555555555556,0.5392761246476686
map-only,full,3,6,0.3333333333333333,0.1935635331437926
